attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country
3636.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States
5083.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States
5886.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States
6336.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States
7085.0,reported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,BABYMONSTER,female,5,7,YG,1,rookie,BABYMONSTER_United States
21125.0,reported,Seoul Olympic Stadium,stadium,65599.0,Asia,South Korea,Seoul,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_South Korea
29241.0,reported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,3,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Thailand
16260.0,reported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Indonesia
9690.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Hong Kong
8469.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Philippines
8076.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Singapore
15504.0,reported,Malawati Indoor Stadium,arena,13000.0,Asia,Malaysia,Kuala Lumpur,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Malaysia
8774.0,reported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Taiwan
12245.0,reported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
11417.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
10704.0,reported,TD Coliseum,arena,18000.0,North America,Canada,Hamilton,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_Canada
22944.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,2,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
9180.0,reported,Gas South Arena,arena,13100.0,North America,United States,Duluth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
9107.0,reported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
,unreported,Fort Worth Convention Center,arena,13500.0,North America,United States,Fort Worth,1,BLACKPINK,female,3,4,YG,2,rookie,BLACKPINK_United States
