attendance,reporting_status,artist_name,gender,generation,tour_type,members,stage_setup,company,continent,country,city,venue_name,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
8469.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Philippines,Pasay,SM Mall of Asia Arena,arena,15000.0,1,2019,2,1,Sat,Sat,1,2,rookie
8076.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Singapore,Singapore,Singapore Indoor Stadium,arena,9000.0,1,2019,2,1,Fri,Fri,1,2,rookie
15504.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Malaysia,Kuala Lumpur,Malawati Indoor Stadium,arena,13000.0,2,2019,2,1,Sat,Sun,1,2,rookie
8774.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Taiwan,Taoyuan,NTSU Arena,arena,15000.0,1,2019,3,1,Sun,Sun,1,2,rookie
12245.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Inglewood,Kia Forum,arena,17500.0,1,2019,4,2,Wed,Wed,0,2,rookie
11417.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Rosemont,Allstate Arena,arena,22000.0,1,2019,4,2,Wed,Wed,0,2,rookie
10704.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,Canada,Hamilton,TD Coliseum,arena,18000.0,1,2019,4,2,Sat,Sat,1,2,rookie
22944.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Newark,Prudential Center,arena,17000.0,2,2019,5,2,Wed,Thu,0,2,rookie
9180.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Duluth,Gas South Arena,arena,13100.0,1,2019,5,2,Sun,Sun,1,2,rookie
9107.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Fort Worth,Fort Worth Convention Center,arena,13500.0,1,2019,5,2,Wed,Wed,0,2,rookie
,unreported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Fort Worth,Fort Worth Convention Center,arena,13500.0,1,2019,5,2,Wed,Wed,0,2,rookie
5272.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Netherlands,Amsterdam,AFAS Live,concert hall,6000.0,1,2019,5,2,Sat,Sat,1,2,rookie
5424.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,England,Manchester,AO Arena,arena,21000.0,1,2019,5,2,Tue,Tue,0,2,rookie
9968.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,England,London,Wembley Arena,arena,12500.0,1,2019,5,2,Wed,Wed,0,2,rookie
7722.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Germany,Berlin,Max-Schemeling-Halle,arena,12000.0,1,2019,5,2,Fri,Fri,1,2,rookie
6224.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,France,Paris,Zénith,arena,9000.0,1,2019,5,2,Sun,Sun,1,2,rookie
8344.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Spain,Barcelona,Palau Sant Jordi,arena,17960.0,1,2019,5,2,Tue,Tue,0,2,rookie
10081.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Macau,Macau,Venetian Arena,arena,14000.0,1,2019,6,2,Sat,Sat,1,2,rookie
12173.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Oceania,Australia,Melbourne,Rod Laver Arena,arena,14820.0,1,2019,6,2,Thu,Thu,0,2,rookie
14317.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Oceania,Australia,Sydney,Qudos Bank Arena,arena,18000.0,1,2019,6,2,Sat,Sat,1,2,rookie
28776.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Thailand,Bangkok,IMPACT Arena,arena,12000.0,3,2019,7,3,Fri,Sun,1,2,rookie
50369.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Japan,Tokyo,Tokyo Dome,stadium,55000.0,1,2019,12,4,Wed,Wed,0,3,growing
81931.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Japan,Osaka,Kyocera Dome,stadium,55000.0,2,2020,1,1,Sat,Sun,1,3,growing
38846.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,Japan,Fukuoka,PayPay Dome,stadium,47500.0,1,2020,2,1,Sat,Sat,1,3,growing
20060.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Asia,South Korea,Seoul,KSPO Dome,arena,15000.0,2,2022,10,4,Sat,Sun,1,6,established
23528.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Dallas,American Airlines Center,arena,21000.0,2,2022,10,4,Tue,Wed,0,6,established
23480.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Houston,Toyota Center,arena,19000.0,2,2022,10,4,Sat,Sun,1,6,established
23434.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Atlanta,State Farm Arena,arena,18000.0,2,2022,11,4,Wed,Thu,0,6,established
23990.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,Canada,Hamilton,TD Coliseum,arena,18000.0,2,2022,11,4,Sun,Mon,1,6,established
25582.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Chicago,United Center,arena,23500.0,2,2022,11,4,Thu,Fri,0,6,established
23928.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Newark,Prudential Center,arena,17000.0,2,2022,11,4,Mon,Tue,0,6,established
46295.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,North America,United States,Los Angeles,BMO Stadium,stadium,22000.0,2,2022,11,4,Sat,Sun,1,6,established
35440.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,England,London,The O2 Arena,arena,20000.0,2,2022,11,4,Wed,Thu,0,6,established
17208.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Spain,Barcelona,Palau Sant Jordi,arena,17960.0,1,2022,12,4,Mon,Mon,0,6,established
15899.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Germany,Cologne,Lanxess Arena,arena,20000.0,1,2022,12,4,Thu,Thu,0,6,established
30731.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,France,Paris,Accor Arena,arena,20300.0,2,2022,12,4,Sun,Mon,1,6,established
15525.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Denmark,Copenhagen,Royal Arena,arena,17000.0,1,2022,12,4,Thu,Thu,0,6,established
26638.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Germany,Berlin,Uber Arena,arena,17000.0,2,2022,12,4,Mon,Tue,0,6,established
14641.0,reported,BLACKPINK,female,3,world tour,4,end stage,YG,Europe,Netherlands,Amsterdam,Ziggo Dome,arena,17000.0,1,2022,12,4,Thu,Thu,0,6,established
