attendance,reporting_status,gender,generation,tour_type,members,stage_setup,continent,country,city,venue_type,venue_capacity,show_nights,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend,years_since_debut,artist_age_bucket
44171.0,reported,female,3,world tour,4,end stage,North America,United States,Las Vegas,stadium,65000.0,1,2023,8,3,Fri,Fri,1,7,established
38390.0,reported,female,3,world tour,4,end stage,North America,United States,San Francisco,stadium,45000.0,1,2023,8,3,Tue,Tue,0,7,established
48824.0,reported,female,3,world tour,4,end stage,North America,United States,Los Angeles,stadium,56000.0,1,2023,8,3,Sat,Sat,1,7,established
35391.0,reported,female,3,world tour,4,end stage,Asia,South Korea,Seoul,stadium,16744.0,2,2023,9,3,Sat,Sun,1,7,established
75340.0,parcial,female,3,world tour,4,end stage,Asia,South Korea,Goyang,stadium,41311.0,2,2025,7,3,Sat,Sun,1,8,established
89981.0,parcial,female,3,world tour,4,end stage,North America,United States,Inglewood,stadium,70240.0,2,2025,7,3,Sat,Sun,1,8,established
48915.0,parcial,female,3,world tour,4,end stage,North America,United States,Chicago,stadium,62500.0,1,2025,7,3,Fri,Fri,1,8,established
,unreported,female,3,world tour,4,end stage,North America,Canada,Toronto,stadium,50000.0,2,2025,7,3,Tue,Wed,0,8,established
73608.0,parcial,female,3,world tour,4,end stage,North America,United States,New York,stadium,41922.0,2,2025,7,3,Sat,Sun,1,8,established
,unreported,female,3,world tour,4,end stage,Europe,France,Paris,stadium,81338.0,2,2025,8,3,Sat,Sun,1,8,established
,unreported,female,3,world tour,4,end stage,Europe,Italy,Milan,stadium,80000.0,1,2025,8,3,Wed,Wed,0,8,established
,unreported,female,3,world tour,4,end stage,Europe,Spain,Barcelona,stadium,55926.0,1,2025,8,3,Sat,Sat,1,9,established
,unreported,female,3,world tour,4,end stage,Europe,England,London,stadium,90000.0,2,2025,8,3,Fri,Sat,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Taiwan,Kaohsiung,stadium,55000.0,2,2025,10,4,Sat,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Thailand,Bangkok,stadium,51560.0,3,2025,10,4,Fri,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Indonesia,Jakarta,stadium,77193.0,2,2025,11,4,Sat,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Philippines,Bulacan,arena,55000.0,2,2025,11,4,Sat,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Singapore,Singapore,stadium,55000.0,3,2025,11,4,Fri,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Japan,Tokyo,stadium,55000.0,3,2026,1,1,Fri,Sun,1,9,established
,unreported,female,3,world tour,4,end stage,Asia,Hong Kong,Hong Kong,stadium,45995.0,3,2026,1,1,Sat,Mon,1,9,established
9869.0,missing,female,4,world tour,5,end stage,Asia,South Korea,Seoul,arena,11069.0,2,2023,6,2,Sat,Sun,1,5,growing
,unreported,female,4,world tour,5,end stage,Asia,Taiwan,Taipei,stadium,13000.0,2,2023,7,3,Sat,Sun,1,5,growing
,unreported,female,4,world tour,5,end stage,Asia,Thailand,Bangkok,concert hall,3500.0,1,2023,7,3,Sat,Sat,1,5,growing
,unreported,female,4,world tour,5,end stage,Asia,Hong Kong,Hong Kong,arena,14000.0,2,2023,7,3,Sat,Sun,1,5,growing
5244.0,reported,female,4,world tour,5,end stage,North America,United States,San Francisco,arena,8500.0,1,2023,8,3,Fri,Fri,1,5,growing
6360.0,reported,female,4,world tour,5,end stage,North America,United States,Los Angeles,arena,7100.0,1,2023,8,3,Sun,Sun,1,5,growing
,unreported,female,4,world tour,5,end stage,North America,United States,Grand Prairie,concert hall,6350.0,1,2023,8,3,Wed,Wed,0,5,growing
5175.0,reported,female,4,world tour,5,end stage,North America,United States,New York,theater,5600.0,1,2023,8,3,Sun,Sun,1,5,growing
2732.0,unreported,female,4,world tour,5,end stage,North America,United States,Atlanta,theater,4665.0,1,2023,8,3,Tue,Tue,0,5,growing
4292.0,reported,female,4,world tour,5,end stage,North America,United States,Rosemont,theater,4400.0,1,2023,8,3,Thu,Thu,0,5,growing
9438.0,unreported,female,4,world tour,5,end stage,Europe,England,London,arena,12500.0,1,2023,9,3,Sat,Sat,1,5,growing
