attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights
8040.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
,unreported,Rosemont Theatre,theater,4400.0,North America,United States,Rosemont,1
,unreported,Great Canadian Casino Resort,concert hall,,North America,Canada,Toronto,2
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
12334.0,parcial,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,3
,unreported,John Cain Arena,arena,10300.0,Oceania,Australia,Melbourne,1
,unreported,ICC Sydney Theatre,concert hall,2500.0,Oceania,Australia,Sydney,1
,unreported,Spark Arena,arena,13280.0,Oceania,New Zealand,Auckland,1
,unreported,Keio Arena Tokyo,arena,10000.0,Asia,Japan,Tokyo,2
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,1
,unreported,Kaohsiung Arena,arena,15000.0,Asia,Taiwan,Kaohsiung,1
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
9989.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
24387.0,reported,K-Arena Yokohama,arena,20000.0,Asia,Japan,Yokohama,2
,unreported,IMPACT Arena,arena,12000.0,Asia,Thailand,Bangkok,1
18851.0,reported,Marine Messe,arena,15000.0,Asia,Japan,Fukuoka,2
20748.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2
,unreported,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
12063.0,reported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
7320.0,reported,Dickies Arena,arena,14000.0,North America,United States,Fort Worth,1
7154.0,reported,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1
7438.0,reported,Allstate Arena,arena,22000.0,North America,United States,Rosemont,1
11617.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
,unreported,Accor Arena,arena,20300.0,Europe,France,Paris,1
,unreported,Palau Sant Jordi,arena,17960.0,Europe,Spain,Barcelona,1
,unreported,Uber Arena,arena,17000.0,Europe,Germany,Berlin,1
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1
,unreported,Palacio de los Deportes,arena,26000.0,North America,Mexico,Mexico City,1
,unreported,Espaço Unimed,concert hall,8000.0,South America,Brazil,São Paulo,1
6414.0,reported,Movistar Arena,arena,15500.0,South America,Chile,Santiago,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1
12181.0,reported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1
16776.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,2
,unreported,ICE BSD,concert hall,,Asia,Indonesia,Tangerang,1
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,2
28543.0,parcial,KSPO Dome,arena,15000.0,Asia,South Korea,Seoul,3
,unreported,Unifi Arena,arena,11000.0,Asia,Malaysia,Kuala Lumpur,1
,unreported,Kyocera Dome,stadium,55000.0,Asia,Japan,Osaka,2
,unreported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
,unreported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
,unreported,Venetian Arena,arena,14000.0,Asia,Macau,Macau,2
,unreported,Qudos Bank Arena,arena,18000.0,Oceania,Australia,Sydney,1
,unreported,Rod Laver Arena,arena,14820.0,Oceania,Australia,Melbourne,1
,unreported,Spark Arena,arena,13280.0,Oceania,New Zealand,Auckland,1
,unreported,Tokyo Dome,stadium,55000.0,Asia,Japan,Tokyo,1
8237.0,parcial,Scotiabank Arena,arena,19800.0,North America,Canada,Toronto,1
9373.0,parcial,Bell Center,arena,15000.0,North America,Canada,Montreal,1
7348.0,parcial,Prudential Center,arena,17000.0,North America,United States,Newark,1
4456.0,parcial,Moody Center,arena,16223.0,North America,United States,Austin,1
7745.0,parcial,Kia Forum,arena,17500.0,North America,United States,Inglewood,1
6645.0,parcial,Oakland Arena,arena,19596.0,North America,United States,Oakland,1
8055.0,parcial,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1
8434.0,parcial,Rogers Arena,arena,19000.0,North America,Canada,Vancouver,1
,unreported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
,unreported,Taipei Arena,stadium,13000.0,Asia,Taiwan,Taipei,2
10503.0,reported,Jamsil Indoor Stadium,arena,11069.0,Asia,South Korea,Seoul,2
17009.0,reported,Nippon Gaishi Hall,arena,10000.0,Asia,Japan,Nagoya,2
24348.0,reported,Yoyogi National Gymnasium,arena,12898.0,Asia,Japan,Tokyo,2
20056.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2
11200.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
2625.0,reported,JIExpo Kemayoran,theater,2500.0,Asia,Indonesia,Jakarta,1
,unreported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,2
8507.0,reported,Inspire Arena,arena,15000.0,Asia,South Korea,Incheon,2
14161.0,reported,Portmesse Nagoya,concert hall,15000.0,Asia,Japan,Nagoya,2
16340.0,reported,Osaka-jō Hall,arena,16000.0,Asia,Japan,Osaka,2
16722.0,reported,West Japan General Exhibition Center Annex,concert hall,,Asia,Japan,Fukuoka,2
52947.0,reported,Saitama Super Arena,arena,22500.0,Asia,Japan,Saitama,3
18333.0,reported,NTSU Arena,arena,15000.0,Asia,Taiwan,Taoyuan,2
19584.0,reported,AsiaWorld–Expo,arena,14000.0,Asia,Hong Kong,Hong Kong,2
9043.0,reported,SM Mall of Asia Arena,arena,15000.0,Asia,Philippines,Pasay,1
8696.0,reported,IMPACT Thunder Dome,concert hall,3500.0,Asia,Thailand,Bangkok,2
6717.0,reported,Singapore Indoor Stadium,arena,9000.0,Asia,Singapore,Singapore,1
10178.0,reported,Prudential Center,arena,17000.0,North America,United States,Newark,1
5798.0,reported,Wintrust Arena,arena,10387.0,North America,United States,Chicago,1
3469.0,reported,Texas Trust CU Theatre,concert hall,6350.0,North America,United States,Grand Prairie,1
