attendance,reporting_status,venue_name,venue_type,venue_capacity,continent,country,city,show_nights,artist_name,gender,generation,members,company,years_since_debut,artist_age_bucket,artist_country,show_year,show_month,show_quarter,weekday_1,weekday_n,is_weekend
5494.0,parcial,UBS Arena,arena,19000.0,North America,United States,New York,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,9,3,Fri,Fri,1
5060.0,parcial,Capital One Arena,arena,20356.0,North America,United States,Washington,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,9,3,Tue,Tue,0
5806.0,parcial,State Farm Arena,arena,18000.0,North America,United States,Atlanta,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,9,3,Thu,Thu,0
6767.0,parcial,Kaseya Center,arena,20000.0,North America,United States,Miami,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,9,3,Sat,Sat,1
7430.0,unreported,American Airlines Center,arena,21000.0,North America,United States,Dallas,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,9,3,Tue,Tue,0
9187.0,unreported,Intuit Dome,arena,18300.0,North America,United States,Inglewood,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,10,4,Sat,Sat,1
,unreported,Oakland Arena,arena,19596.0,North America,United States,Oakland,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,10,4,Tue,Tue,0
,unreported,Climate Pledge Arena,arena,17200.0,North America,United States,Seattle,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_United States,2026,10,4,Fri,Fri,1
,unreported,Rogers Arena,arena,19000.0,North America,Canada,Vancouver,1,aespa,female,4,4,"SM,KAKAO",5,growing,aespa_Canada,2026,10,4,Sun,Sun,1
,unreported,AO Arena,arena,21000.0,Europe,England,Manchester,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_England,2027,1,1,Thu,Thu,0
,unreported,The O2 Arena,arena,20000.0,Europe,England,London,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_England,2027,1,1,Sat,Sat,1
,unreported,Ziggo Dome,arena,17000.0,Europe,Netherlands,Amsterdam,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Netherlands,2027,1,1,Tue,Tue,0
,unreported,Avicii Arena,arena,16000.0,Europe,Sweden,Stockholm,1,aespa,female,4,4,"SM,KAKAO",6,established,aespa_Sweden,2027,1,1,Fri,Fri,1
